fuzzyKey	title	scrapedDate	scrapedType	scrapedSubType	image
d9fd7a204a5578ef469574c8a775233d	Press Release - 2021.08.01	2021-08-01	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.08.02/Press_Release_-_763_English-page-001.jpg
1e8bbae42cc575250dd7514298e3739c	Press Release - 2021.08.01 - Covid 19 Infection Deaths	2021-08-01	Press Release	Covid 19 Infection Deaths	https://www.dgi.gov.lk/images/2021.08.02/Press_Release_-_762_English-page-001.jpg
93ff392f7756b7ecb55fa9683bb75c55	Press Release - 2021.07.31	2021-07-31	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.08.02/Press_Release_-_761_English-page-001.jpg
e27f3370c21b6ca00e6b8492c7bf8082	Press Release - 2021.07.30 - Covid 19 Infection Report	2021-07-30	Press Release	Covid 19 Infection Report	https://www.dgi.gov.lk/images/2021.08.02/Press_Release_-_756_English-page-001.jpg
5d8693eb702bcf3ca985b4cbd1d215f5	Press Release - 2021.07.30	2021-07-30	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.08.02/Press_Release_-_755_English-page-001.jpg
5dd6fef6195638c77bea5ede18510e82	Press Release - 2021.07.30 - Covid 19 Infection Deaths	2021-07-30	Press Release	Covid 19 Infection Deaths	https://www.dgi.gov.lk/images/2021.08.02/Press_Release_-_754_English-page-001.jpg
926c11eee7832b3226a285226066d2bd	Press Release - 2021.07.30 - Progress of Covid 19 Immunization as of 8.30 pm on 29 .07.	2021-07-30	Press Release	Progress of Covid 19 Immunization as of 8.30 pm on 29 .07.	https://www.dgi.gov.lk/images/2021.07.30/COVID_Immunization_-_Progress_29.07.2021-page-001.jpg
30b4dc4100b044c033d6912a73b0d50b	Press Release - 2021.07.29 - Covid 19 Infection Report	2021-07-29	Press Release	Covid 19 Infection Report	https://www.dgi.gov.lk/images/2021.07.30/Press_Release_-_752_English-page-001.jpg
ed1526cbc3bb04dc45fa8d24c5eb441d	Press Release - 2021.07.29 - Covid 19 Infection Deaths	2021-07-29	Press Release	Covid 19 Infection Deaths	https://www.dgi.gov.lk/images/2021.07.30/Press_Release_-_751_English-page-001.jpg
a8d525504ddaac09eb29a00b187cf80e	Press Release - 2021.07.29	2021-07-29	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.07.30/Press_Release_-_750_English-page-001.jpg
321e1d715108100e792b9fd87201d86b	Press Release - 2021.07.28 - Covid 19 infection report	2021-07-28	Press Release	Covid 19 infection report	https://www.dgi.gov.lk/images/2021.07.30/Press_Release_-_749_English-page-001.jpg
bb83e642ec4deccc1affba22e8f2a67c	Press Release - 2021.07.28  - Covid 19 infection deaths	2021-07-28	Press Release	Covid 19 infection deaths	https://www.dgi.gov.lk/images/2021.07.30/Press_Release_-_748_English-page-001.jpg
4474fd6bfd3172e8bcce6618a6f97e72	Press Release - 2021.07.28	2021-07-28	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.07.30/Press_Release_-_747_English-page-001.jpg
2280507fe6d097f676a139ca75a68ccf	Press Release - 2021.07.27 - Covid 19 Infection Report	2021-07-27	Press Release	Covid 19 Infection Report	https://www.dgi.gov.lk/images/2021.07.30/Press_Release_-_746_English-page-001.jpg
4188179410996a9e237abd119fe9bec0	Press Release - 2021.07.27 - Covid 19 Infection Deaths	2021-07-27	Press Release	Covid 19 Infection Deaths	https://www.dgi.gov.lk/images/2021.07.30/PR_-_745_English_1-page-001.jpg
224fc1c9e9adff4cee4650b000787f60	Press Release - 2021.07.27	2021-07-27	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.07.30/PR_-_744_English-page-001.jpg
