fuzzyKey	date	ageBelow30Male	ageBelow30Female	ageAbove60Male	ageAbove60Female
fc9d8b417f8fbfbc7b0c4fc24c7445c1	2021-07-17T05:30:00.000+05:30	0	0	11	12
0898fb018a176c0677562054de3e9f28	2021-07-16T05:30:00.000+05:30	0	0	14	15
336f64c819df80037fe5530a273e21aa	2021-07-15T05:30:00.000+05:30	0	0	21	17
d71e1a5381b95d797a82022cad824df0	2021-07-14T05:30:00.000+05:30	0	0	13	17
deb6658aa902807e7ec945ace191adc2	2021-07-13T05:30:00.000+05:30	1	0	15	13
83709abfa018430c1284e52e79d3875e	2021-07-12T05:30:00.000+05:30	0	0	13	13
f50d4bb33c7fe86d80524025d65f997d	2021-07-11T05:30:00.000+05:30	0	0	12	13
306de535c26df8282fedf7c7342eb78a	2021-07-10T05:30:00.000+05:30	0	1	17	10
82c933381c0f3c3cee7f78b7db54d813	2021-07-09T05:30:00.000+05:30	0	0	23	6
c17ab6b15214a6a4385024a1b6a4ae01	2021-07-08T05:30:00.000+05:30	0	0	18	10
2b60344432e84c72e8a5bedd82de7b70	2021-07-07T05:30:00.000+05:30	1	1	15	14
1d74075a3516f37b9d5686c0286bcebf	2021-07-06T05:30:00.000+05:30	1	0	23	13
55e3cc2f8ceb800d7e9e6379c68abe62	2021-07-05T05:30:00.000+05:30	1	0	8	13
b9b9968b341622faf63a2f6caf6e9cbc	2021-07-04T05:30:00.000+05:30	0	0	13	22
fc609de145c288d8494b627291de3c92	2021-07-03T05:30:00.000+05:30	0	0	18	10
fb8b2de67ba1424689c566109108c564	2021-07-02T05:30:00.000+05:30	1	0	19	9
13e26428c91bd97718f2800af03f463b	2021-07-01T05:30:00.000+05:30	0	0	24	13
